發生年度,發生月份,發生日期,發生時間,發生地點,發生縣市,發生區鄉,天候名稱,道路類別,事故位置子類別名稱,事故類型及型態子類別名稱,肇因研判子類別名稱,死亡人數,受傷人數,當事者車種,當事者屬-性-別名稱,當事者事故發生時年齡,是否使用3C產品
2023,2,20230214,15,臺中市潭子區大豐里大豐路三段238號前0.0公尺,臺中市,潭子區,晴,市區道路,快車道,其他,起步未注意其他車(人)安全,1,0,機車,男,70,未使用
2023,2,20230214,15,臺中市潭子區大豐里大豐路三段238號前0.0公尺,臺中市,潭子區,晴,市區道路,快車道,其他,起步未注意其他車(人)安全,1,0,小貨車(含客、貨兩用),男,60,未使用
2023,2,20230214,16,高雄市燕巢區安招路1044號前0.0公尺,高雄市,燕巢區,晴,市區道路,慢車道,追撞,未注意車前狀態,1,0,曳引車,男,42,未使用
2023,2,20230214,16,高雄市燕巢區安招路1044號前0.0公尺,高雄市,燕巢區,晴,市區道路,慢車道,追撞,未注意車前狀態,1,0,機車,女,60,未使用
2023,2,20230215,6,臺南市新市區大社里大社1110號,臺南市,新市區,晴,村里道路,交叉口附近,撞動物,未注意車前狀態,1,0,機車,男,65,未使用
2023,2,20230215,6,臺南市新市區大社里大社1110號,臺南市,新市區,晴,村里道路,交叉口附近,撞動物,未注意車前狀態,1,0,不明,無或物(動物、堆置物),-1,不明
2023,2,20230215,10,臺中市北屯區水湳里山西路二段 / 臺中市北屯區水湳里崇德二路二段,臺中市,北屯區,晴,市區道路,交叉路口內,側撞,左轉彎未依規定,1,1,機車,女,71,未使用
2023,2,20230215,10,臺中市北屯區水湳里山西路二段 / 臺中市北屯區水湳里崇德二路二段,臺中市,北屯區,晴,市區道路,交叉路口內,側撞,左轉彎未依規定,1,1,機車,男,21,未使用
2023,2,20230215,17,彰化縣鹿港鎮頂厝里鹿興路 / 彰化縣鹿港鎮頂厝里平和路,彰化縣,鹿港鎮,晴,村里道路,交叉路口內,路口交岔撞,違反號誌管制或指揮,1,0,機車,女,58,不明
2023,2,20230215,17,彰化縣鹿港鎮頂厝里鹿興路 / 彰化縣鹿港鎮頂厝里平和路,彰化縣,鹿港鎮,晴,村里道路,交叉路口內,路口交岔撞,違反號誌管制或指揮,1,0,小客車,男,53,不明
2023,2,20230215,18,嘉義縣六腳鄉蒜南村蒜頭414之15號前,嘉義縣,六腳鄉,陰,縣道,一般車道(未劃分快慢車道),側撞,左轉彎未依規定,1,1,機車,女,78,未使用
2023,2,20230215,18,嘉義縣六腳鄉蒜南村蒜頭414之15號前,嘉義縣,六腳鄉,陰,縣道,一般車道(未劃分快慢車道),側撞,左轉彎未依規定,1,1,機車,男,29,未使用
2023,2,20230215,18,嘉義縣六腳鄉蒜南村蒜頭414之15號前,嘉義縣,六腳鄉,陰,縣道,一般車道(未劃分快慢車道),側撞,左轉彎未依規定,1,1,機車,男,20,不明
2023,2,20230215,18,嘉義縣六腳鄉蒜南村蒜頭414之15號前,嘉義縣,六腳鄉,陰,縣道,一般車道(未劃分快慢車道),側撞,左轉彎未依規定,1,1,機車,女,19,不明
2023,2,20230215,20,宜蘭縣員山鄉員山路3段10號前0.0公尺附近,宜蘭縣,員山鄉,晴,省道,慢車道,其他,未注意車前狀態,1,1,機車,男,42,未使用
2023,2,20230215,20,宜蘭縣員山鄉員山路3段10號前0.0公尺附近,宜蘭縣,員山鄉,晴,省道,慢車道,其他,未注意車前狀態,1,1,小客車,女,32,未使用
2023,2,20230215,20,宜蘭縣員山鄉員山路3段10號前0.0公尺附近,宜蘭縣,員山鄉,晴,省道,慢車道,其他,未注意車前狀態,1,1,小客車,男,17,未使用
2023,2,20230216,13,花蓮縣吉安鄉吉豐路5段口 / 花蓮縣吉安鄉吉城二街口,花蓮縣,吉安鄉,陰,省道,交叉路口內,路口交岔撞,違反號誌管制或指揮,1,0,小客車,男,75,未使用
2023,2,20230216,13,花蓮縣吉安鄉吉豐路5段口 / 花蓮縣吉安鄉吉城二街口,花蓮縣,吉安鄉,陰,省道,交叉路口內,路口交岔撞,違反號誌管制或指揮,1,0,機車,男,75,未使用
2023,2,20230216,16,新竹縣新豐鄉後湖村9-12鄰產業道路,新竹縣,新豐鄉,晴,縣道,交叉路口內,路口交岔撞,未依規定讓車,1,0,機車,男,63,未使用
2023,2,20230216,16,新竹縣新豐鄉後湖村9-12鄰產業道路,新竹縣,新豐鄉,晴,縣道,交叉路口內,路口交岔撞,未依規定讓車,1,0,小貨車(含客、貨兩用),男,31,未使用
2023,2,20230216,16,新竹縣新豐鄉後湖村9-12鄰產業道路,新竹縣,新豐鄉,晴,縣道,交叉路口內,路口交岔撞,未依規定讓車,1,0,小貨車(含客、貨兩用),男,48,未使用
2023,2,20230216,19,桃園市大園區和平西路2段口 / 桃園市大園區平南路,桃園市,大園區,晴,市區道路,交叉路口內,側撞,違規超車,1,1,機車,男,19,未使用
2023,2,20230216,19,桃園市大園區和平西路2段口 / 桃園市大園區平南路,桃園市,大園區,晴,市區道路,交叉路口內,側撞,違規超車,1,1,小客車,女,22,未使用
2023,2,20230216,19,桃園市大園區和平西路2段口 / 桃園市大園區平南路,桃園市,大園區,晴,市區道路,交叉路口內,側撞,違規超車,1,1,不明,無或物(動物、堆置物),-1,不明
2023,2,20230216,19,桃園市大園區和平西路2段口 / 桃園市大園區平南路,桃園市,大園區,晴,市區道路,交叉路口內,側撞,違規超車,1,1,人,女,19,未使用
2023,2,20230216,21,高雄市仁武區村澄觀路 / 高雄市仁武區京吉六路,高雄市,仁武區,晴,市區道路,交叉路口內,側撞,違反號誌管制或指揮,1,0,小客車,男,68,未使用
2023,2,20230216,21,高雄市仁武區村澄觀路 / 高雄市仁武區京吉六路,高雄市,仁武區,晴,市區道路,交叉路口內,側撞,違反號誌管制或指揮,1,0,機車,女,27,未使用
2023,2,20230216,22,臺中市霧峰區峰谷里新生路390號前0.0公尺,臺中市,霧峰區,晴,市區道路,交叉口附近,撞路樹、電桿,酒醉(後)駕駛失控,1,0,機車,男,22,不明
2023,2,20230216,22,臺中市霧峰區峰谷里新生路390號前0.0公尺,臺中市,霧峰區,晴,市區道路,交叉口附近,撞路樹、電桿,酒醉(後)駕駛失控,1,0,不明,無或物(動物、堆置物),0,不明
2023,2,20230217,7,高雄市茂林區茂林里高132鄉道0.7公里號前0.0公尺,高雄市,茂林區,晴,市區道路,一般車道(未劃分快慢車道),路上翻車、摔倒,未依規定減速,1,0,曳引車,男,28,不明
2023,2,20230217,7,高雄市茂林區茂林里高132鄉道0.7公里號前0.0公尺,高雄市,茂林區,晴,市區道路,一般車道(未劃分快慢車道),路上翻車、摔倒,未依規定減速,1,0,不明,無或物(動物、堆置物),112,不明
2023,2,20230217,13,花蓮縣吉安鄉南濱路1段口 / 花蓮縣吉安鄉華中路口,花蓮縣,吉安鄉,晴,縣道,交叉路口內,側撞,未依規定讓車,1,0,半聯結車,男,44,未使用
2023,2,20230217,13,花蓮縣吉安鄉南濱路1段口 / 花蓮縣吉安鄉華中路口,花蓮縣,吉安鄉,晴,縣道,交叉路口內,側撞,未依規定讓車,1,0,機車,男,19,未使用
2023,2,20230217,13,花蓮縣吉安鄉南濱路1段口 / 花蓮縣吉安鄉華中路口,花蓮縣,吉安鄉,晴,縣道,交叉路口內,側撞,未依規定讓車,1,0,不明,無或物(動物、堆置物),-1,不明
2023,2,20230217,15,嘉義縣朴子市大葛里朴子七路與祥和三路西段路口,嘉義縣,朴子市,晴,市區道路,其他,撞路樹、電桿,不明原因肇事,1,0,曳引車,男,57,不明
2023,2,20230217,15,嘉義縣朴子市大葛里朴子七路與祥和三路西段路口,嘉義縣,朴子市,晴,市區道路,其他,撞路樹、電桿,不明原因肇事,1,0,不明,無或物(動物、堆置物),-1,不明
2023,2,20230217,15,嘉義縣朴子市大葛里朴子七路與祥和三路西段路口,嘉義縣,朴子市,晴,市區道路,其他,撞路樹、電桿,不明原因肇事,1,0,不明,無或物(動物、堆置物),-1,不明
2023,2,20230217,15,嘉義縣朴子市大葛里朴子七路與祥和三路西段路口,嘉義縣,朴子市,晴,市區道路,其他,撞路樹、電桿,不明原因肇事,1,0,不明,無或物(動物、堆置物),-1,不明
2023,2,20230217,15,嘉義縣朴子市大葛里朴子七路與祥和三路西段路口,嘉義縣,朴子市,晴,市區道路,其他,撞路樹、電桿,不明原因肇事,1,0,不明,無或物(動物、堆置物),-1,不明
2023,2,20230218,12,高雄市仁武區鳳仁路177號前0.0公尺,高雄市,仁武區,晴,市區道路,慢車道,追撞,未注意車前狀態,1,0,機車,男,21,未使用
2023,2,20230218,12,高雄市仁武區鳳仁路177號前0.0公尺,高雄市,仁武區,晴,市區道路,慢車道,追撞,未注意車前狀態,1,0,曳引車,男,61,不明
2023,2,20230218,13,桃園市大園區台61線平面南下PB48橋墩旁,桃園市,大園區,晴,市區道路,交叉路口內,路口交岔撞,未依規定讓車,1,0,小貨車(含客、貨兩用),男,69,不明
2023,2,20230218,13,桃園市大園區台61線平面南下PB48橋墩旁,桃園市,大園區,晴,市區道路,交叉路口內,路口交岔撞,未依規定讓車,1,0,機車,男,18,使用手持或有礙駕駛安全
2023,2,20230218,19,高雄市楠梓區楠梓路 / 高雄市楠梓區楠梓新路,高雄市,楠梓區,晴,市區道路,交叉口附近,路口交岔撞,違反號誌管制或指揮,1,1,機車,男,75,未使用
2023,2,20230218,19,高雄市楠梓區楠梓路 / 高雄市楠梓區楠梓新路,高雄市,楠梓區,晴,市區道路,交叉口附近,路口交岔撞,違反號誌管制或指揮,1,1,機車,男,23,未使用
2023,2,20230218,19,臺東縣卑南鄉太平路613號前0.0公尺,臺東縣,卑南鄉,晴,村里道路,一般車道(未劃分快慢車道),側撞,違反特定標誌(線)禁制,1,2,機車,女,81,未使用
2023,2,20230218,19,臺東縣卑南鄉太平路613號前0.0公尺,臺東縣,卑南鄉,晴,村里道路,一般車道(未劃分快慢車道),側撞,違反特定標誌(線)禁制,1,2,小客車,男,21,未使用
2023,2,20230218,19,臺東縣卑南鄉太平路613號前0.0公尺,臺東縣,卑南鄉,晴,村里道路,一般車道(未劃分快慢車道),側撞,違反特定標誌(線)禁制,1,2,不明,無或物(動物、堆置物),-1,不明
2023,2,20230218,19,臺東縣卑南鄉太平路613號前0.0公尺,臺東縣,卑南鄉,晴,村里道路,一般車道(未劃分快慢車道),側撞,違反特定標誌(線)禁制,1,2,小客車,女,50,不明
2023,2,20230218,19,臺東縣卑南鄉太平路613號前0.0公尺,臺東縣,卑南鄉,晴,村里道路,一般車道(未劃分快慢車道),側撞,違反特定標誌(線)禁制,1,2,小貨車(含客、貨兩用),女,35,不明
2023,2,20230218,19,臺東縣卑南鄉太平路613號前0.0公尺,臺東縣,卑南鄉,晴,村里道路,一般車道(未劃分快慢車道),側撞,違反特定標誌(線)禁制,1,2,小客車,男,39,不明
2023,2,20230218,19,臺東縣卑南鄉太平路613號前0.0公尺,臺東縣,卑南鄉,晴,村里道路,一般車道(未劃分快慢車道),側撞,違反特定標誌(線)禁制,1,2,人,男,23,非駕駛人
2023,2,20230218,20,高雄市杉林區台29省道集來201燈桿號前0.0公尺,高雄市,杉林區,晴,市區道路,一般車道(未劃分快慢車道),對撞,逆向行駛,1,0,機車,男,20,不明
2023,2,20230218,20,高雄市杉林區台29省道集來201燈桿號前0.0公尺,高雄市,杉林區,晴,市區道路,一般車道(未劃分快慢車道),對撞,逆向行駛,1,0,小客車,男,32,未使用
2023,2,20230219,0,臺南市麻豆區安業里東溪洲16之2號前(173線4公里處),臺南市,麻豆區,晴,市區道路,路肩、路緣,撞路樹、電桿,未注意車前狀態,2,0,機車,男,18,不明
2023,2,20230219,0,臺南市麻豆區安業里東溪洲16之2號前(173線4公里處),臺南市,麻豆區,晴,市區道路,路肩、路緣,撞路樹、電桿,未注意車前狀態,2,0,不明,無或物(動物、堆置物),-1,不明
2023,2,20230219,0,臺南市麻豆區安業里東溪洲16之2號前(173線4公里處),臺南市,麻豆區,晴,市區道路,路肩、路緣,撞路樹、電桿,未注意車前狀態,2,0,人,女,18,非駕駛人
2023,2,20230219,1,嘉義縣朴子市大鄉里縣168線12.4公里處西向,嘉義縣,朴子市,霧或煙,縣道,慢車道,追撞,酒醉(後)駕駛失控,1,0,機車,女,46,未使用
2023,2,20230219,1,嘉義縣朴子市大鄉里縣168線12.4公里處西向,嘉義縣,朴子市,霧或煙,縣道,慢車道,追撞,酒醉(後)駕駛失控,1,0,小貨車(含客、貨兩用),男,49,未使用
2023,2,20230219,13,臺南市善化區善化交流道北上匝道口,臺南市,善化區,晴,市區道路,交叉路口內,側撞,違反號誌管制或指揮,1,0,半聯結車,男,38,未使用
2023,2,20230219,13,臺南市善化區善化交流道北上匝道口,臺南市,善化區,晴,市區道路,交叉路口內,側撞,違反號誌管制或指揮,1,0,機車,男,38,未使用
2023,2,20230219,14,屏東縣枋山鄉加祿路85-3號前0.0公尺,屏東縣,枋山鄉,晴,市區道路,一般車道(未劃分快慢車道),對向擦撞,未注意車前狀態,1,0,小貨車(含客、貨兩用),男,20,未使用
2023,2,20230219,14,屏東縣枋山鄉加祿路85-3號前0.0公尺,屏東縣,枋山鄉,晴,市區道路,一般車道(未劃分快慢車道),對向擦撞,未注意車前狀態,1,0,機車,男,22,未使用
2023,2,20230219,14,屏東縣枋山鄉加祿路85-3號前0.0公尺,屏東縣,枋山鄉,晴,市區道路,一般車道(未劃分快慢車道),對向擦撞,未注意車前狀態,1,0,人,男,26,未使用
2023,2,20230219,14,屏東縣枋山鄉加祿路85-3號前0.0公尺,屏東縣,枋山鄉,晴,市區道路,一般車道(未劃分快慢車道),對向擦撞,未注意車前狀態,1,0,人,男,31,未使用
2023,2,20230219,15,嘉義縣大林鎮平林里瑞德路與中正路路口,嘉義縣,大林鎮,晴,村里道路,交叉口附近,其他,迴轉未依規定,1,0,大貨車,男,42,未使用
2023,2,20230219,15,嘉義縣大林鎮平林里瑞德路與中正路路口,嘉義縣,大林鎮,晴,村里道路,交叉口附近,其他,迴轉未依規定,1,0,慢車,男,61,未使用
2023,2,20230219,18,雲林縣古坑鄉永昌村光興路85號前附近,雲林縣,古坑鄉,晴,市區道路,慢車道,追撞,未注意車前狀態,1,0,機車,男,42,未使用
2023,2,20230219,18,雲林縣古坑鄉永昌村光興路85號前附近,雲林縣,古坑鄉,晴,市區道路,慢車道,追撞,未注意車前狀態,1,0,小客車,女,55,未使用
2023,2,20230220,1,宜蘭縣頭城鎮新興路83之2號附近,宜蘭縣,頭城鎮,晴,村里道路,其他,撞橋樑、建築物,不明原因肇事,2,0,小客車,男,51,未使用
2023,2,20230220,1,宜蘭縣頭城鎮新興路83之2號附近,宜蘭縣,頭城鎮,晴,村里道路,其他,撞橋樑、建築物,不明原因肇事,2,0,不明,無或物(動物、堆置物),-1,不明
2023,2,20230220,1,宜蘭縣頭城鎮新興路83之2號附近,宜蘭縣,頭城鎮,晴,村里道路,其他,撞橋樑、建築物,不明原因肇事,2,0,人,男,43,非駕駛人
2023,2,20230220,10,彰化縣彰化市國道3號 200公里100.0公尺處南側向路肩,彰化縣,彰化市,晴,國道,路肩、路緣,在路上作業中,未注意車前狀態,1,0,大貨車,男,28,未使用
2023,2,20230220,10,彰化縣彰化市國道3號 200公里100.0公尺處南側向路肩,彰化縣,彰化市,晴,國道,路肩、路緣,在路上作業中,未注意車前狀態,1,0,人,男,60,非駕駛人
2023,2,20230220,10,彰化縣彰化市國道3號 200公里100.0公尺處南側向路肩,彰化縣,彰化市,晴,國道,路肩、路緣,在路上作業中,未注意車前狀態,1,0,特種車,男,60,不明
2023,2,20230220,10,苗栗縣竹南鎮國道3號 111公里100.0公尺處北側,苗栗縣,竹南鎮,晴,國道,快車道,追撞,未注意車前狀態,1,4,半聯結車,男,43,未使用
2023,2,20230220,10,苗栗縣竹南鎮國道3號 111公里100.0公尺處北側,苗栗縣,竹南鎮,晴,國道,快車道,追撞,未注意車前狀態,1,4,大貨車,男,52,未使用
2023,2,20230220,10,苗栗縣竹南鎮國道3號 111公里100.0公尺處北側,苗栗縣,竹南鎮,晴,國道,快車道,追撞,未注意車前狀態,1,4,小客車,男,60,未使用
2023,2,20230220,10,苗栗縣竹南鎮國道3號 111公里100.0公尺處北側,苗栗縣,竹南鎮,晴,國道,快車道,追撞,未注意車前狀態,1,4,小客車,男,48,未使用
2023,2,20230220,10,苗栗縣竹南鎮國道3號 111公里100.0公尺處北側,苗栗縣,竹南鎮,晴,國道,快車道,追撞,未注意車前狀態,1,4,小客車,男,27,未使用
2023,2,20230220,10,苗栗縣竹南鎮國道3號 111公里100.0公尺處北側,苗栗縣,竹南鎮,晴,國道,快車道,追撞,未注意車前狀態,1,4,小貨車(含客、貨兩用),男,50,未使用
2023,2,20230220,10,苗栗縣竹南鎮國道3號 111公里100.0公尺處北側,苗栗縣,竹南鎮,晴,國道,快車道,追撞,未注意車前狀態,1,4,小客車,男,60,未使用
2023,2,20230220,10,苗栗縣竹南鎮國道3號 111公里100.0公尺處北側,苗栗縣,竹南鎮,晴,國道,快車道,追撞,未注意車前狀態,1,4,小貨車(含客、貨兩用),男,44,未使用
2023,2,20230220,10,苗栗縣竹南鎮國道3號 111公里100.0公尺處北側,苗栗縣,竹南鎮,晴,國道,快車道,追撞,未注意車前狀態,1,4,人,女,59,非駕駛人
2023,2,20230220,10,苗栗縣竹南鎮國道3號 111公里100.0公尺處北側,苗栗縣,竹南鎮,晴,國道,快車道,追撞,未注意車前狀態,1,4,人,男,54,非駕駛人
2023,2,20230220,10,苗栗縣竹南鎮國道3號 111公里100.0公尺處北側,苗栗縣,竹南鎮,晴,國道,快車道,追撞,未注意車前狀態,1,4,不明,無或物(動物、堆置物),-1,不明
2023,2,20230220,10,苗栗縣竹南鎮國道3號 111公里100.0公尺處北側,苗栗縣,竹南鎮,晴,國道,快車道,追撞,未注意車前狀態,1,4,人,女,51,非駕駛人
2023,2,20230220,12,臺南市安南區安通路4段口 / 臺南市安南區安和路1段口,臺南市,安南區,晴,市區道路,交叉路口內,側撞,左轉彎未依規定,1,0,機車,男,72,未使用
2023,2,20230220,12,臺南市安南區安通路4段口 / 臺南市安南區安和路1段口,臺南市,安南區,晴,市區道路,交叉路口內,側撞,左轉彎未依規定,1,0,大貨車,男,27,未使用
2023,2,20230220,17,臺中市東區精武路口 / 臺中市東區玉皇街口,臺中市,東區,晴,市區道路,交叉路口內,穿越道路中,未依規定行走行人穿越道、地下道、天橋而穿越道路,1,1,人,男,52,非駕駛人
2023,2,20230220,17,臺中市東區精武路口 / 臺中市東區玉皇街口,臺中市,東區,晴,市區道路,交叉路口內,穿越道路中,未依規定行走行人穿越道、地下道、天橋而穿越道路,1,1,機車,男,44,未使用
2023,2,20230221,8,宜蘭縣礁溪鄉柴圍路(東西向)與柴圍路(南北向)之路口處,宜蘭縣,礁溪鄉,陰,村里道路,交叉路口內,路口交岔撞,未注意車前狀態,1,0,機車,女,69,未使用
2023,2,20230221,8,宜蘭縣礁溪鄉柴圍路(東西向)與柴圍路(南北向)之路口處,宜蘭縣,礁溪鄉,陰,村里道路,交叉路口內,路口交岔撞,未注意車前狀態,1,0,小客車,男,55,未使用
2023,2,20230221,8,宜蘭縣礁溪鄉柴圍路(東西向)與柴圍路(南北向)之路口處,宜蘭縣,礁溪鄉,陰,村里道路,交叉路口內,路口交岔撞,未注意車前狀態,1,0,人,女,66,非駕駛人
2023,2,20230221,8,宜蘭縣礁溪鄉柴圍路(東西向)與柴圍路(南北向)之路口處,宜蘭縣,礁溪鄉,陰,村里道路,交叉路口內,路口交岔撞,未注意車前狀態,1,0,人,男,5,非駕駛人
2023,2,20230221,8,宜蘭縣礁溪鄉柴圍路(東西向)與柴圍路(南北向)之路口處,宜蘭縣,礁溪鄉,陰,村里道路,交叉路口內,路口交岔撞,未注意車前狀態,1,0,人,男,4,非駕駛人
2023,2,20230221,8,宜蘭縣礁溪鄉柴圍路(東西向)與柴圍路(南北向)之路口處,宜蘭縣,礁溪鄉,陰,村里道路,交叉路口內,路口交岔撞,未注意車前狀態,1,0,人,男,4,非駕駛人
2023,2,20230221,19,南投縣竹山鎮中崎里南雲大橋上林內往竹山方向橋樑上700公尺處[路燈編S25處),南投縣,竹山鎮,晴,省道,一般車道(未劃分快慢車道),倒車撞,不明原因肇事,1,0,小客車,男,50,不明
2023,2,20230221,19,南投縣竹山鎮中崎里南雲大橋上林內往竹山方向橋樑上700公尺處[路燈編S25處),南投縣,竹山鎮,晴,省道,一般車道(未劃分快慢車道),倒車撞,不明原因肇事,1,0,機車,男,36,未使用
2023,2,20230222,7,彰化縣溪州鄉舊眉村中山路4段270號前0.0公尺,彰化縣,溪州鄉,晴,村里道路,慢車道,同向擦撞,不明原因肇事,1,0,小客車,男,58,不明
2023,2,20230222,7,彰化縣溪州鄉舊眉村中山路4段270號前0.0公尺,彰化縣,溪州鄉,晴,村里道路,慢車道,同向擦撞,不明原因肇事,1,0,機車,男,79,不明
2023,2,20230222,7,臺東縣池上鄉台20甲線 5公里200.0公尺處,臺東縣,池上鄉,晴,省道,交叉路口內,側撞,未依規定讓車,1,3,其他車,男,69,未使用
2023,2,20230222,7,臺東縣池上鄉台20甲線 5公里200.0公尺處,臺東縣,池上鄉,晴,省道,交叉路口內,側撞,未依規定讓車,1,3,大貨車,男,35,未使用
2023,2,20230222,7,臺東縣池上鄉台20甲線 5公里200.0公尺處,臺東縣,池上鄉,晴,省道,交叉路口內,側撞,未依規定讓車,1,3,人,女,64,非駕駛人
2023,2,20230222,7,臺東縣池上鄉台20甲線 5公里200.0公尺處,臺東縣,池上鄉,晴,省道,交叉路口內,側撞,未依規定讓車,1,3,人,女,43,非駕駛人
2023,2,20230222,10,嘉義縣鹿草鄉後堀村後堀65-9號旁路口,嘉義縣,鹿草鄉,晴,縣道,交叉路口內,側撞,左轉彎未依規定,1,0,機車,男,81,未使用
2023,2,20230222,10,嘉義縣鹿草鄉後堀村後堀65-9號旁路口,嘉義縣,鹿草鄉,晴,縣道,交叉路口內,側撞,左轉彎未依規定,1,0,小客車,男,30,未使用
2023,2,20230222,12,嘉義縣太保市崙頂里縣道168線17.95公里處,嘉義縣,太保市,晴,縣道,路肩、路緣,衝出路外,未注意車前狀態,1,0,機車,女,56,不明
2023,2,20230222,12,嘉義縣太保市崙頂里縣道168線17.95公里處,嘉義縣,太保市,晴,縣道,路肩、路緣,衝出路外,未注意車前狀態,1,0,不明,無或物(動物、堆置物),-1,不明
2023,2,20230222,12,嘉義縣太保市崙頂里縣道168線17.95公里處,嘉義縣,太保市,晴,縣道,路肩、路緣,衝出路外,未注意車前狀態,1,0,不明,無或物(動物、堆置物),-1,不明
2023,2,20230222,15,嘉義縣水上鄉柳鄉村柳子林200-7號,嘉義縣,水上鄉,晴,村里道路,交叉路口內,路口交岔撞,未依規定讓車,1,1,機車,男,29,不明
2023,2,20230222,15,嘉義縣水上鄉柳鄉村柳子林200-7號,嘉義縣,水上鄉,晴,村里道路,交叉路口內,路口交岔撞,未依規定讓車,1,1,小客車,男,56,不明
2023,2,20230222,20,臺南市歸仁區台39線 13公里769.0公尺處附近向機、慢車道,臺南市,歸仁區,晴,省道,慢車道,撞路樹、電桿,不明原因肇事,1,0,機車,男,25,不明
2023,2,20230222,20,臺南市歸仁區台39線 13公里769.0公尺處附近向機、慢車道,臺南市,歸仁區,晴,省道,慢車道,撞路樹、電桿,不明原因肇事,1,0,不明,無或物(動物、堆置物),-1,不明
2023,2,20230222,20,苗栗縣竹南鎮台61線90公里處南下側車道,苗栗縣,竹南鎮,晴,省道,慢車道,撞護欄(樁),未注意車前狀態,1,0,機車,男,59,未使用
2023,2,20230222,20,苗栗縣竹南鎮台61線90公里處南下側車道,苗栗縣,竹南鎮,晴,省道,慢車道,撞護欄(樁),未注意車前狀態,1,0,不明,無或物(動物、堆置物),-1,不明
2023,2,20230222,23,桃園市大園區國際路三段口 / 桃園市大園區竹圍街附近,桃園市,大園區,雨,市區道路,交叉口附近,對撞,逆向行駛,1,3,小客車,男,23,不明
2023,2,20230222,23,桃園市大園區國際路三段口 / 桃園市大園區竹圍街附近,桃園市,大園區,雨,市區道路,交叉口附近,對撞,逆向行駛,1,3,機車,男,26,未使用
2023,2,20230222,23,桃園市大園區國際路三段口 / 桃園市大園區竹圍街附近,桃園市,大園區,雨,市區道路,交叉口附近,對撞,逆向行駛,1,3,人,男,40,非駕駛人
2023,2,20230222,23,桃園市大園區國際路三段口 / 桃園市大園區竹圍街附近,桃園市,大園區,雨,市區道路,交叉口附近,對撞,逆向行駛,1,3,人,男,39,非駕駛人
2023,2,20230222,23,桃園市大園區國際路三段口 / 桃園市大園區竹圍街附近,桃園市,大園區,雨,市區道路,交叉口附近,對撞,逆向行駛,1,3,人,男,27,未使用
2023,2,20230222,23,高雄市鳳山區村南華一路前0.0公尺,高雄市,鳳山區,晴,市區道路,慢車道,撞號誌、標誌桿,未注意車前狀態,1,1,機車,女,45,未使用
2023,2,20230222,23,高雄市鳳山區村南華一路前0.0公尺,高雄市,鳳山區,晴,市區道路,慢車道,撞號誌、標誌桿,未注意車前狀態,1,1,不明,無或物(動物、堆置物),112,不明
2023,2,20230222,23,高雄市鳳山區村南華一路前0.0公尺,高雄市,鳳山區,晴,市區道路,慢車道,撞號誌、標誌桿,未注意車前狀態,1,1,人,女,16,非駕駛人
2023,2,20230223,7,南投縣名間鄉投44 1公里800.0公尺處附近,南投縣,名間鄉,晴,村里道路,路肩、路緣,撞路樹、電桿,不明原因肇事,1,0,機車,女,39,不明
2023,2,20230223,7,南投縣名間鄉投44 1公里800.0公尺處附近,南投縣,名間鄉,晴,村里道路,路肩、路緣,撞路樹、電桿,不明原因肇事,1,0,不明,無或物(動物、堆置物),-1,不明
2023,2,20230223,8,桃園市新屋區後塘路口 / 桃園市新屋區後塘路口,桃園市,新屋區,陰,市區道路,交叉路口內,路口交岔撞,未依規定讓車,1,0,小客車,女,44,未使用
2023,2,20230223,8,桃園市新屋區後塘路口 / 桃園市新屋區後塘路口,桃園市,新屋區,陰,市區道路,交叉路口內,路口交岔撞,未依規定讓車,1,0,機車,男,35,未使用
2023,2,20230223,9,臺南市仁德區二行里中正西路127號,臺南市,仁德區,晴,市區道路,一般車道(未劃分快慢車道),側撞,迴轉未依規定,1,1,小貨車(含客、貨兩用),男,40,不明
2023,2,20230223,9,臺南市仁德區二行里中正西路127號,臺南市,仁德區,晴,市區道路,一般車道(未劃分快慢車道),側撞,迴轉未依規定,1,1,機車,男,65,不明
2023,2,20230223,9,臺南市仁德區二行里中正西路127號,臺南市,仁德區,晴,市區道路,一般車道(未劃分快慢車道),側撞,迴轉未依規定,1,1,人,女,63,不明
2023,2,20230223,9,南投縣名間鄉彰南路246號,南投縣,名間鄉,晴,省道,其他,追撞,未注意車前狀態,1,0,機車,男,55,不明
2023,2,20230223,9,南投縣名間鄉彰南路246號,南投縣,名間鄉,晴,省道,其他,追撞,未注意車前狀態,1,0,小貨車(含客、貨兩用),男,63,不明
2023,2,20230223,12,嘉義縣布袋鎮貴舍里嘉13線0.2公里處,嘉義縣,布袋鎮,晴,鄉道,交叉路口內,路口交岔撞,未依規定讓車,1,0,機車,男,82,未使用
2023,2,20230223,12,嘉義縣布袋鎮貴舍里嘉13線0.2公里處,嘉義縣,布袋鎮,晴,鄉道,交叉路口內,路口交岔撞,未依規定讓車,1,0,小客車,男,35,未使用
2023,2,20230223,20,花蓮縣豐濱鄉小湖11號前,花蓮縣,豐濱鄉,陰,省道,一般車道(未劃分快慢車道),追撞,未注意車前狀態,1,0,曳引車,男,36,未使用
2023,2,20230223,20,花蓮縣豐濱鄉小湖11號前,花蓮縣,豐濱鄉,陰,省道,一般車道(未劃分快慢車道),追撞,未注意車前狀態,1,0,其他車,男,57,不明
